year,month,day,skt
1994,5,2,-2.4200195312499773
1994,5,3,-0.9499877929687273
1994,5,4,-1.0499938964843523
1994,5,5,-0.7200073242187273
1994,5,6,-0.47000732421872726
1994,5,7,-0.31998291015622726
1994,5,8,-0.6700195312499773
1994,5,9,-0.5000061035156023
1994,5,10,-0.5000061035156023
1994,5,11,-1.6200012207031023
1994,5,12,-1.3500122070312273
1994,5,13,-1.3500122070312273
1994,5,14,-1.3500122070312273
1994,5,15,-1.2500061035156023
1994,5,16,-1.2500061035156023
1994,5,17,-1.1399902343749773
1994,5,18,-1.1399902343749773
1994,5,19,-1.1399902343749773
1994,5,20,-1.0400146484374773
1994,5,21,-1.0400146484374773
1994,5,22,-0.9400085449218523
1994,5,23,-0.9400085449218523
1994,5,24,-0.8500122070312273
1994,5,25,-0.8500122070312273
1994,5,26,-0.8500122070312273
1994,5,27,-0.8500122070312273
1994,5,28,-0.8500122070312273
1994,5,29,-0.8500122070312273
1994,5,30,-0.8500122070312273
1994,5,31,-0.8500122070312273
1995,5,1,-1.8700012207031023
1995,5,2,-1.3899902343749773
1995,5,3,-0.6700195312499773
1995,5,4,-1.5499938964843523
1995,5,5,-4.420019531249977
1995,5,6,-0.9499877929687273
1995,5,7,-0.05002441406247726
1995,5,8,-1.5499938964843523
1995,5,9,-1.2500061035156023
1995,5,10,-1.0400146484374773
1995,5,11,-1.2500061035156023
1995,5,12,-1.3500122070312273
1995,5,13,-1.4400085449218523
1995,5,14,-1.4400085449218523
1995,5,15,-1.5400146484374773
1995,5,16,-1.6399902343749773
1995,5,17,-1.6399902343749773
1995,5,18,-1.6399902343749773
1995,5,19,-1.7500061035156023
1995,5,20,-1.7500061035156023
1995,5,21,-1.7500061035156023
1995,5,22,-1.7500061035156023
1995,5,23,-1.5400146484374773
1995,5,24,-1.4400085449218523
1995,5,25,-1.4400085449218523
1995,5,26,-1.3500122070312273
1995,5,27,-1.4400085449218523
1995,5,28,-1.4400085449218523
1995,5,29,-1.3500122070312273
1995,5,30,-1.2500061035156023
1995,5,31,-1.2500061035156023
1996,5,1,-1.7500061035156023
1996,5,2,-1.7500061035156023
1996,5,3,-0.5699829101562273
1996,5,4,-0.17001953124997726
1996,5,5,-1.9899963378906023
1996,5,6,-1.9400085449218523
1996,5,7,-1.9400085449218523
1996,5,8,-1.9400085449218523
1996,5,9,-1.9400085449218523
1996,5,10,-1.9400085449218523
1996,5,11,-1.8500122070312273
1996,5,12,-1.6399902343749773
1996,5,13,-1.3500122070312273
1996,5,14,-0.9400085449218523
1996,5,15,-0.8500122070312273
1996,5,16,-0.8500122070312273
1996,5,17,-0.8500122070312273
1996,5,18,-0.9400085449218523
1996,5,19,-0.8500122070312273
1996,5,20,-0.7500061035156023
1996,5,21,0.14998779296877274
1996,5,22,0.6499877929687727
1996,5,23,0.7499938964843977
1996,5,24,0.9499755859375227
1996,5,25,1.1499877929687727
1996,5,26,1.3600097656250227
1996,5,27,1.3600097656250227
1996,5,28,1.1499877929687727
1996,5,29,1.1499877929687727
1996,5,30,1.1499877929687727
1996,5,31,1.2499938964843977
1997,5,1,-2.7800048828124773
1997,5,2,-0.6000122070312273
1997,5,3,-0.10001220703122726
1997,5,4,-3.5300048828124773
1997,5,5,-1.1299804687499773
1997,5,6,-1.4100097656249773
1997,5,7,-2.6999877929687273
1997,5,8,-3.4499877929687273
1997,5,9,-0.7300170898437273
1997,5,10,-1.6600097656249773
1997,5,11,-0.05002441406247726
1997,5,12,-1.5499938964843523
1997,5,13,-0.7300170898437273
1997,5,14,-0.19998779296872726
1997,5,15,-1.6299804687499773
1997,5,16,-1.5499938964843523
1997,5,17,-1.6600097656249773
1997,5,18,-1.8500122070312273
1997,5,19,-1.7500061035156023
1997,5,20,-1.7500061035156023
1997,5,21,-1.7500061035156023
1997,5,22,-1.6600097656249773
1997,5,23,-1.5499938964843523
1997,5,24,-1.4499877929687273
1997,5,25,-1.3500122070312273
1997,5,26,-0.7500061035156023
1997,5,27,-0.44998779296872726
1997,5,28,-0.16000976562497726
1997,5,29,0.24999389648439774
1997,5,30,0.33999023437502274
1997,5,31,0.44997558593752274
1998,5,1,-1.3500122070312273
1998,5,2,-1.2500061035156023
1998,5,3,-1.4499877929687273
1998,5,4,-1.6600097656249773
1998,5,5,-1.7500061035156023
1998,5,6,-1.8500122070312273
1998,5,7,-1.9499877929687273
1998,5,8,-1.9499877929687273
1998,5,9,-1.9499877929687273
1998,5,10,-1.9499877929687273
1998,5,11,-1.9499877929687273
1998,5,12,-1.9499877929687273
1998,5,13,-1.9499877929687273
1998,5,14,-1.9499877929687273
1998,5,15,-1.9499877929687273
1998,5,16,-1.9499877929687273
1998,5,17,-1.9499877929687273
1998,5,18,-1.9499877929687273
1998,5,19,-1.9499877929687273
1998,5,20,-1.9499877929687273
1998,5,21,-1.5499938964843523
1998,5,22,-1.2500061035156023
1998,5,23,-1.2500061035156023
1998,5,24,-1.2500061035156023
1998,5,25,-0.8500122070312273
1998,5,26,-0.5499938964843523
1998,5,27,-0.35001220703122726
1998,5,28,-0.05002441406247726
1998,5,29,0.14998779296877274
1998,5,30,0.33999023437502274
1998,5,31,0.6499877929687727
1999,5,1,-3.6799987792968523
1999,5,2,-5.329992675781227
1999,5,3,-4.949987792968727
1999,5,4,-5.329992675781227
1999,5,5,-6.379980468749977
1999,5,6,-7.759985351562477
1999,5,7,-11.379980468749977
1999,5,8,-12.049993896484352
1999,5,9,-5.929998779296852
1999,5,10,-4.579992675781227
1999,5,11,-0.6799987792968523
1999,5,12,-2.9100097656249773
1999,5,13,-2.2999938964843523
